page,comment,scale
Page_2,Tento rok sa mi zdá vianočné oddelenie odfláknuté. A stránka je neprehľadná.:-(,-2
Page_2,"tento rok fakt nič moc.. a sviečky 1, 2, 3, 4 sa minuli ako teplé rožky.. (a mne neostali!).. už neprídu, aj napriek tomu, ž do vianoc ostáva viac (!) ako mesiac :-/",-2
Page_2,"vyzera fajn, ale kazda poschodova postel pre mna je neprakticka, co sa tyka prezliekania obliecok a pristupu ku choremu dietatku",-2
Page_2,"bolo zvykom, že ste nám každý rok doručili do schránok nový katalóg...tento rok sme nedostali... už to nerobíte ?",-2
Page_2,"kachlicky na stene sa tvaria, ze toaleta bola kedysi funkcna. no dnes vzhladom na jej vyuzitie sa mi zda, ze ju tam uz len trpia",-2
Page_2,Co tolko stoji na tych zavesoch?,-2
Page_3,Pre boha brat kupil lenovo za 800 € je to uplny masaker. Nikdy taku chybu neurobim. Ja mam telefon lenovo a uz to nikdy nesmiem spravit .LENOVO uz nikdy biac. NIKDY,-2
Page_3,"Mama používa P90 a úprimne, väčšia sračka už hádam ani neexistuje.",-2
Page_3,Jděte někam akorát jste zkurvili Motorolu ve svůj prospěch ..,-2
Page_3,"Toto napíšete, ale to ze sa všetci sťažujú na lenovo p70 na fórach, ze OS lollipop oproti kitkat dosral celý telefón, to neriešite.",-2
Page_3,"Prečo klamete národ? Poradiť s P70 nedokážu, len krčia plecami. V LENOVO predajni v BB mi povedali, že aktualizácii na Android 5.1 si musím na skutočnosť, že mám priemerný smartfon zvyknúť. To je hanba, páni z LENOVO.",-2
Page_3,"Jedine, že by som si kúpil fungl nový lenovo U31 a nemôžem sa ani pohnúť, lebo od výroby je dojebaný medzerník, však? :D Hneď zajtra to musím dať naspäť do shopu, ak budú pýtať peniaze za opravu, tak to bude prdel",-2
Page_3,"Ako môžem zahlasovať, keď mi P70 fungovala 3 dni. potom prišla aktualizácia a zo smartfónu sa zrazu stal podpriemerný mobilčok za 50€. Môžete sa v LENOVO hanbiť.",-2
Page_3,Vam to musi riadne drbat ziadat hlasovat za to ako ste to dosrali....,-2
Page_4,"Dnes ráno o 7,30 nebolo v LIDL Senec nič z aktuálnej ponuky. Prečo zavádzate zákazníkov ? Hanbite sa !!!",-2
Page_4,"Vazne ma rozculuju taketo momenty ked si pani podavaju ruky ako dobre to vybudovali. A nehli ani prstom a pred strihanim pasky vyhnali robotnikov nech sa tam nemotaju ktori sa tam skutocne namakali. A urcite niektorym zivnostnikom aj nezaplatili za odvedenu pracu. To sa teraz tak robi. Ked makate tak ste pan robotnik a ked pitate za odvedenu pracu tak povedia : vy kto ste ved vy ste tu ani nebol. Pani poslanci. Ked nebudete mat robotnikov, nebudete mat co strihat.",-2
Page_4,Lidl nech sa nechvasta toľko už sa ukázal dosť !!! Žihadielko je tomu príkladom obabral všetkých a postavia ihriska tam kde sa im to hodí !!! Hanba Lidl Slovensko !!!,-2
Page_4,"Plne sa stotožňujem s pánom Kissom, skutočne len páni prekladajú ruky a robotníkom zaplatia ledva ne prežitie, netrápi ich ak robotník , ktorý robí 12 hodín denne dostane na hodinu ledva 4 - 5 Eur,  a narobí sa do nemoty . To je tiež výsledok vlády, ktorá sa tu prezentuje, a v ničom nepomáha malým živnostníkom.",-2
Page_4,"Lidl, ako Ste si to dovolili, postaviť z vlastného v Seredi logistické centrum a ako Ste mohli na spoločnej foto vynechať robotníkov? To je nonsens. A k tomu ešte aj tie ihriská z  vlastných peňazí nechcete postaviť v každom dvore... Tak to je teda trapas. Nerozumiem, prečo Ste taký sebecký podnik, že vlastné peniaze míňate podľa seba. Slováci sú takí prajní a každý by zo svojho postavil ihriská všade, aj na Sibíri a aj v Iraku. Viete čo, Lidl, tomuto neprajnému ľudu nastavte pozadie, radšej tie peniaze, ktoré investujete do kampaní, z ktorých srší len nenávisť a závisť, investujte do svojich ľudí, dajte im to na odmenách, urobíte lepšie.",-2
Page_4,"Konečne.To bolo ""fakt spravodlivé hlasovanie"".Mali ste odmeniť predajne s najväčším obratom !  A nie hlasovať,podvádzať a odoberať hlasy .",-2
Page_4,Totálne sklamanie = celá súťaž = celé zle + vopred známe (stanovené) mestá pre ihriská. :(,-2
Page_4,"ako som tu rozpravku mala rada tak ste mi ju zhnusili tou reklamou....prid,prid ....",-2
Page_4,Slovenská klasika ... osočovať a ohovárať všetko ... hanba ...,-2
Page_4,"Drahý Lidl, nemám už ani chuť Vám tu ohľadom tohto písať, no nedá mi svedomie kvôli svidníckym deťom. Poctivo hlasujem celý čas vo Vašej súťaži, boli mi odobrané hlasy, veľa hlasov, vyše 20 hlasov. Keď som Vás o tom oboznámil, vrátili ste mi hlasy späť. Ešte včera tam boli, no dnes na moje prekvapenie a na Vašu hanbu, tam znova chýbajú. Je to naozaj na veľké zamyslenie, že taká spoločnosť ako Vy si to dovolí a je to vôbec možné. A ešte by som dodal, že nie som jediný s takouto situáciou vo Svidníku... Prikladám screenshot...",-2
Page_4,"Hanba celému Lidlu. Zhnusili ste sa mi po tom, čo ste spravili Svidníku. Končím s vami nadobro!",-2
Page_4,"strašne opakujete od Tasty veľmi trápne,",-2
Page_4,aj ja si myslím že je zmanipulovaná veď prečo už nezverejňujú poradie....,-2
Page_4,"A podla mna, navyse mali byt mesta ktore ziskavali hlasy podvodom, uplne vyradene!!!",-2
Page_4,A to nehovorím o predavackach v Ke na tahanociach ake su nepríjemne a myslia si ze prehltli vsetku mudrost sveta a ked idú dve pokladne tak jedna z nich sa vykrici na zakaznika ze jej treba vykladať tovar a nema cas ta kde sme???!!!! Zmeňte predavacky lebo to je chore ako oni sa správajú a este vykladanie tovaru zaberu celu uličku a clovek musí  ist na okolo celej predajni aby sa dostal k jednej veci s kosikom,-2
Page_4,"Napríklad som sa pitala na rozdiel medzi dvoma podobnými výrobkami do umývačky riadu a ofrklo mi odpovedala, že ona také nepotrebuje riešiť, že ona na take veci ma ruky. Taký hnev do mňa vošiel!Ako môže byť k zákazníkom taká tupa. Robím v Jednote a za toto by ma vedúca poslala.... Potom som zhanala neaky výrobok... Sak hen je, tam to hľadajte, Sme spokojný s vašimi výrobkami.Sereď máme bližšie ako Galantu, ale radcej si zájdem pár kilometrov navise, kvôli tej ochote...",-2
Page_4,Viete uz ma nebavia  tie vaše súťaže ako keď ste mali tie losi pri určitom nákupe ste obdržali los a po zotreti ste mohli vyhrať olej alebo špagety lenže predavačka si presvietili losi cez modre svetlo a presne vedeli ktore vyhravaju a tak vyhravali znami a rodiny  tak je to z hrami v lidlu už neverim,-2
Page_4,"Výherca nakúpi za 20e, vyhrá vysávač a zaplatí daň z výhry, cena výhry je asi 549e, no neber to",-2
Page_4,"Ľutujem, ale už nikdy viac.",-2
Page_4,"Hej jasne, este idem najst tu vasu zazracnu formulku az do minutia zasob, a podla mna uz dnes to je ""fuč""..",-2
Page_4,Este zaplatit dan pocitam tak 150 eur no nevyhraj to...,-2
Page_4,su to klamari len chcu aby tam ľudia nakupovali a nakoniec vám výhru nedaju lebo nemaju.Tak ako s tými nožíkmi na Vianoce.HAMBA,-2
Page_4,Lidl klame s podvadza - toto ma byt roboticky vysavac smejd za par €? Vykonny vysavac stoji stovky € nie ako tento srot,-2
Page_4,"A co tak dokazat podvodne hladovanie vy chytrak. Uz dali dokonca potvrdzovanie , ze niesme roboti, aj tak vyssia moc z lidla zasiahla, lebo nechcu, aby ihriska boli na vychode, lebo vysoke naklady a a este k tomu aby boli par km od seba... Lidl...",-2
Page_4,"To je od Lidlu velmi neseriozne že stiahol hlasy iba Svidníku,mate aj kontrolu ,nie som robot a aj tak neviete čo robíte. tým ste potvrdili že vaša kontrola je neseriozna. Toto je jasný doklad toho že Myjava má u Vás človeka a je už dopredu jasné ,že ihrisko musí byť na Myjave .......... Fuj",-2
Page_4,"Nie len Svidnik aj Stara Lubovna zase,asi kontroluju len vybrane mesta a Kubin a Sered to je studnica svatosti.Tak sa mi tisnu do ust slova K.Kryla: nasrat a nasrat",-2
Page_4,"Je až smiešne, ako sa ľudia dokážu hádať pre nič. Keď naše mesto nevyhrá, tak sa svet nezrúti. Ibaže sú tu ľudia, ktorí rozmýšľajú spôsobom : ""nevyhrám ja, tak ani ty"". Mali ste to hneď pri prvom zistení podvodu zastaviť a ukončiť hlasovanie. A nechať to skutočne napr. na hlasovanie sms -kami. Chceš ihrisko, tak pošli sms. Teším sa na výsledky :-)",-2
Page_4,Zartujete!!!! A opat svidnik!!!! To je neskutocne,-2
Page_5,"V McDonalde nikdy poriadny burger ani poriadne jedlo nedostanete, ani jieco, co sa tvariako jedlo tam nikdy nevideli, vsetko ide iba na ukor penazi a zdravia..",-2
Page_5,"Čo mi segra priniesla z mekáču zo všetkého mi bolo zle..... prepálený olej ,nečerstvá zelenina , pokazené mäso lepší je KFC!!!!!!",-2
Page_5,"Dafuck, Dali sa v hrobe obracia čo za hlupu reklamu ste vymysleli -,-",-2
Page_5,Otras. Že sa nehanbia. Oni si fakt myslia že sme tupý Američania?,-2
Page_5,aj usmev je vela za taku kavu z mc,-2
Page_5,Kebyže tá káva neni taká hnusá.. Výplach kávomatu..,-2
Page_5,mekac ma veeeelmi daleko od toho co sa vola restauracia. Je to proste bufet bez obsluhy.,-2
Page_6,Pekna picovina ako cala nayka,-2
Page_6,Ludia vy viete len picovat na vsetko,-2
Page_6,"Len pindajte slovac hlupa a obmedzena.
Mate nasrate v hlavach statocne sracky....",-2
Page_6,"Su to obycajni podvodnici.Chce sa mi z nich grcat.Predavajuci personal je tam taky,ze pride a s usmevom sa opyta:Mozem poradit?A ked sa na nieco spytam tak sa tvari akoby ten tovar prvy krat videl.To su hole skusenosti.Ked mu poviem tento TV stal v decembri o 20 eur menej ako dnes po zlave, tak kuka ako puk.Aka zlava?FUJ.",-2
Page_6,"Pred vianocami stal samsung s5 mini okolo 255€ a teraz 229€  to je zlava 46%,pokial viem tak to je nejakych cca7-8%,dobre nas odrbavaju",-2
Page_6,My sme boli včera v Nay a chcel som kupit kameru do auta a personal som si zavolal a vravim mal by som zaujem o tu kameru a predavajuci mi hovoti to si nekupujte je v zlave lebo je to pouzivany tovar a ma napuchnutu bateriu.,-2
Page_6,"Čo sa týka ""odborného"" personálu pri poslednej návšteve nay som nemohol niečo nájsť reku sa spýtam. Ide okolo predajca a vravím možem sa spýtať kde... Ani som nedokončil a odpoved že ne. A veselo šiel do skladu. Pokial tam budú takýto ... Pracovať tak tam ani nepachnem",-2
Page_6,Somarina a nie akciové ceny .Tie akciové ceny by malo byť pôvodná cena . Podvod nič viac cele nayko .,-2
Page_6,Vsetko je to banda zlodejska,-2
Page_6,Ja mam skusenosti s Okey elektrom..banda zlodejska,-2
Page_6,Jest budem televizory a smartfony nech si ich pojebu,-2
Page_6,Podvodnici,-2
Page_6,A NAY to je firma ktora ojebuje s reklamaciami,-2
Page_6,To su tie slovenské OJEBÁVAČKY!!!! Cena !!! Kkt tomu uverí !!! Normálny človek nie!!!!,-2
Page_6,"NECHAAPETE ??? 649 stal ked ho vidali, teda mozno pred 3 rokmi, na akciach neuvadzaju aktualnu cenu a z nej zlavu ALE OJEB teda cenu ked sa zacal vyrabat :) :) :)",-2
Page_6,Ja som unich kupoval mobilny telefon zn.lenovo ked sa mi to pokazilo a reklamovalsom  tak reklamaciu neuznaly  ..nic odnich nekupujte su len klamari  !!! Fuj hnusi !!!,-2
Page_6,"NAY je asi najdrahsi obchod na SLovensku. Raz som apeloval na cloveka, co tam praoval, nech mi vybavi zlavu na videokameru :) Po az 25% bola drahsia, ako som ju nakoniec kupil u konkurencie. Bullshit. Kupim tak max sirup do sodastreamu :) aj to len preto, ze sa mi nechce inde ist. Obchodnici luuzri, ked sa ich clovek opyta, aky je rozdiel medzi 2 vyrobkami, citaju manual pomalsie ako ja :p Treba ist inde, TPD, aj Alza je lepsia. Ale aby som nekydal len, stretol som tam raz predajcu, ked si kamos kupoval TV a to bola encyklopedia. Ale asi uz zutekal prec, lebo ked kupujem tie sirupy, tak vidim predajcov citat tie prirucky pri zakaznikoch :) Naposledy pred 2 dnami. :p",-2
Page_6,"Umenie nadhodnotiť tovar o 30 - 40 % a potom dať akciu , čisté klamanie a oblbovanie zákazníka.",-2
Page_6,"ano a po mesiaci reklamujete,lebo to rapluje a dalšie dva mesiace čakate na peniaze späť....nikdy viac NAY",-2
Page_6,NAY vedenie dajte si facku uz niesme hlupy slovaci!!!,-2
Page_6,super super len nech sa nepo---ú...hlavne ze pockali na prazdniny a dovolenky,-2
Page_6,"nay je az priliz nenazrany na ceny, predrazeny obchod jak svina",-2
Page_6,"Choďte do piče ešte aj mail mi zaplňte . Odkiaľ vôbec máte moj mail čo si to dovoľujete ma tam otravovať ešte totálnymi hlúposťami ja Vám posielam niečo na mail ... Fakt nemám čo dávať do koša , Pošlete mi reklamu na šporáky ste redardovaní ? Nemám ani vlastný byt kam by som si ho asi dal o tejto akcii radšej pomlčím nemám záujem neviete o mne čo mám rad o čo by som mal záujem ale pcháte mi tu veci ktoré nemôžem zniesť , no a tie zľavy sú neskutočné už k vám veľa ľudí asi nechodí",-2
Page_7,"Ja som bola vo Zvolene prvá zákazníčka, ale žiadne výhody dodnes nemám. Chcem sa ale poďakovať, za to, keď som bola dlho v nemocnici, tak mi veľmi  stúpol účet, ktorý som nezaplatila. Dostala som pokutu, ktorú mi však odpustili, keďže som bola v nemocnici",-2
Page_8,"Nieee radšej úver na auto, svadbu, potom peniaze vyhodiť na alkohol, cigarety a automaty, ak náhodou nebudeme zvládať splácať zoberieme ďalší úver ;-)",-2
Page_8,Stale potom nechapem ako tak pozeram ze tu niektori pisu blbosti preco vobec teda na tu straku chodite alebo ju mate lajknutu.....,-2
Page_8,ked to riadi mafia jednotná sa netešte na tom sk (:,-2
Page_8,Neverím nikomu a ničomu,-2
Page_8,"Podvod vsetko,Slovensko",-2
Page_8,"druhy pilie ano, ale nie cez roznych parazitov co sa na tom prizivuju",-2
Page_8,Presne. Druhy pilier nikdy v zivote. Radsej pchat peniaze do vankusa ako do vreciek zlodej.,-2
Page_8,"Poraďte aspoň tým  truľom, čo nedosahujú ani priemerný zárobok, aby okamžite vystúpili.",-2
Page_8,Máte nejaký probleeeem???,-2
Page_8,Zufalky OVB 😉,-2
Page_8,"2. Pilier je po sukromnych zdravotnych poistovniach druhy najvacsi odrb na obcanoch SR.
Netvrdim, ze 1. pilier funguje, ale 2. je nastaveny v prospech DSS a spolocnosti vyplacajucich dochodok, nie v prospech obcanov!",-2
Page_8,"Počkajte, ešte sa pravidlá budú 1000x meniť a to poväčšine k horšiemu pre sporiteľov. Závisieť to bude na tom, koľko z nasporených peňazí DSSky prešustrujú zlým investovaním. Možno celé dedene nakoniec nebude, aby sa vyrovnali straty. Len si zrátajte, tí čo ste v 2. pilieri od samého začiatku po dnešok, koľko % máte to slávne zhodnotenie po odrátaní všetkých poplatkov. Ešte nezabúdajme, že dolár a euro sú meny absolútne ničím nepodložené, na rozdiel napr. od čínskeho juanu a ruského rubľa, ktoré budú onedlho vymeniteľné za zlato. Aby veľmi rýchlo z našich úspor náhodou nevyšiel akurát dôchodok na 1 slaný rožok za mesiac a  na dedenie môžme rýchlo zabudnúť, kým majitelia DSSiek podobne ako strašne úspešní podnikatelia Dlhý Široký a Bystrozraký si budú svoje tučné pupky vyvaľovať vo vilách postavených z ""reštrukturalizovaných"" peňazí niekde na BAhamách.",-2
Page_8,"len,aby,bolo čo dediť.a,ako môže o druhom pilieri radiť majiteľ DSS,len vo svoj prospech",-2
Page_8,"Idem do prec z druheho piliera,nezarabam tolko aby sa mi tam oplatilo zostat",-2
Page_8,A o dva roky stupnu sadzby na dvojnasobok a budu ľudia v pecku,-2
Page_8,"Na Slovensku sa neoplati ani 1 ani 2 ani 3 ani 4 atd.pilier len preto, ze sa ludia nechaju bezhlavo okradat a niesu schopny pre napravu urobit nic.Tak Fico a vsetci politici ponom sa postaraju ze budete mat v dôchodku akurat na slanu vodu a môzte mat kludne aj 10 pilierov.",-2
Page_8,Prečo nechcú pochopiť ľudia že 1 pilier už dávno nemá zmysel?,-2
Page_8,poslite ich  radsej ficovej vlade na ich radovanky,-2
Page_8,"sprostosť, druhý pilier je podvod",-2
Page_8,"ja ako 27rocny ani nemam 2,pilier , len 3. ale uvazujem ze aj ten zrusim bo ma to moze dopadnut jak na Cypre kde zobrali nejakych 20% z piliera ludom",-2
Page_8,"Ak clovek odvadza dane tak v dochodku by sa mal o neho postrat stat,nie este aby si sporil...a niekto pouziva jeho peniaze a skeri sa mu do xichtu...Ako to ze to v inych krajinach funguj a tu nie...",-2
Page_8,"najdolezitejsie je,ze ak by som sa nahodou v tomto pajzli zamestnal tak pojdu moje prachy do dvoch prasiat",-2
Page_8,"Dolezite je zmenit si zivot nie az v dochodku ale hned...a to zmenou celej zlodejskej bandy,ktora rozkrada tento stat a potom neostava dostojny dochodok pre ludi co cely zivot tvrdo makali...",-2
Page_8,Nevstupovat. Urcite nie.,-2
Page_8,Odbornici,-2
Page_8,"Žijem na Slovensku, takže pochybujem že sa dôchodku vôbec dožijem...",-2
Page_8,Ja k dochodkom len tolko.....pred 30-35 rokmi sa na Slovensku narodilo 100 000 deti. Teraz je to rocne cca 55 000. To bude pruser,-2
Page_8,Jasne bla bla bla 10 rokov funguje druhy pilier a kolko z neho maju nasetrene ??? 40€????,-2
Page_8,"ziadny dochodok nebudeme mat od statu .. a ak bude takato vlada nadalej tak este mi im budeme platit a nie oni nam .. nieje zle si odkladat lenze otazka je z coho ???!!!!!!! ... 550e priemerny plat a co pocuvam ani to nie tu zarabaju 380e v cistom .. a teraz mate 2deti ktore chodia do skoly .. peniaze na cestu .. na skolske potreby .. oblecenie .. drogisticky tovar .. elektrika,plyn, ak byvate na bytovke alebo cinzaku .. voda .. radio,Tv, .. 880e do kopy .. a to som neratal este jedlo .. a desiaty do skoly .. cele zle cela Skurvena slovenska republika .. cim viac kradnes tym sa mas lepsie ..",-2
Page_8,"pekné rozprávky pre deti a skutek utek.........keď príde na to ,,,ja nič to oni !!!",-2
Page_8,"Tak tomuto príspevku like určite nedám ,  ;-)  Ludia zamyslite sa ! Moj nazor , Moje peniaze !  ;-)",-2
Page_8,Vsetko je to podvod,-2
Page_8,"tak tak, bohuzial od statu uz nasa generacia nedostane ani .... socialka je cierna nekonecna diera  a kym sa bude kradnut ako do teraz neostane nikomu nic",-2
Page_8,"..niekto to aj tak zablokoval..neda sa ovorit-error,,náhoda? :-D",-2
Page_8,2 roky staré.,-2
Page_8,JE TO ZABLOKOVANÉ,-2
Page_8,Hej ale ptm sa ich ani nedožiju :D,-2
Page_8,Preco ich rovno nezrusia? Konecne sa ludia nebudu zadlzovat ale zacnu sa podporovat byty s podporou vystavby statu. Vsetky komercne hypoteky su jedna velka zlodejina a to treba povedat nahlas. Od prvej po poslednu banku.,-2
Page_8,"Nádherný štát, radosť tu žiť. Nikto tu vôbec nešpekuluje ako zarobiť čo najviac na ľuďoch, jednoducho zemský raj.",-2
Page_8,podľa otazok mam pocit že žijem v inej dimenzii..nejmenší plat je tu 650 euro hrubého... :-(,-2
Page_8,"ja by som vzivote nesiel do 2 pilira, len vyvoleni budu mat dvochodky. ved je kriza a za 10 rokou to bude este horsie, stat je len stat ty peniaze daju , ale to co vimisli sdku to je vsetko zle a boh vie kolko oni dostali zato. mozna ze to bude druhi bm......",-2
Page_8,"Cely dochodkovi system je Pyramida....kto bude robit , na koho???",-2
Page_8,Odbornik jak oci,-2
Page_8,všetke poistky som zrušil .Prišiel som na to ked by som bol marod ta pistka ma nespasí prestanem ju platit a prišiel som o všetko žiadna vyhra .strach je nepriateľ č.1.,-2
Page_8,OVB  ako vaaaaaaaazne 😂😂😂😂😂😂😂😂😂😂😂😂  amateri  vo financovani mi maju radit taky co dostanu dve hodiny skolenia a mam si za jeho radu zobrat hypoteku na cely zivot ??😁😁😁😁😁 ne dik ....a skolenia maju vo forme mega ozran party,-2
Page_8,Najlepsie nikde....ale slovensko...bez toho to nejde,-2
Page_8,To sme dopadli keď nám OVB má radiť pri financiách,-2
Page_8,"Je to aj tak nefer a niekto z toho krasne zije...Chcete mi povedat,ze priklad Oravaci zijuci v lese sa musia poistit?Vsak tam je vsade les a ked tam nasnezi 1,5 m snehu tiez sanitka nepride...A nie len na Orave.Je to odrb...Zakon ma platit pre kazdeho rovnako.",-2
Page_8,"V statuse 7600 dolarov, v nadpise článku 7600 eur... Detaily su dôležité",-2
Page_8,"Jednotkári? Potom ja som pápežov syn (sorry za rúhanie). Jednotkári z výšky sú tak akurát vhodní na okopávanie zemiakov (tie treba viac k životu). Prax žiadna, ale hlavne, že skončil s červeným diplomom. Nevravím o všetkých, ale tak to je a potom plačú v McDonaldoch.
V Google zarába 7600 dolárov už stážista.",-2
Page_8,"Fico nie je normálny ani ostatni s nim.Včera som šlapala domov z prace 10 km , MHD bolo paralyzované, kto je zato zodpovední...Dajme im my pokuty, keby cestári fungovali,tak by sasa to nestalo.Napadne trocha snehu a už sú hotoví,21. storočí.Vážení občaniam myslite na tieto prešlapy aj pri volbách, pripomenme im to...lrebo hlásajú, že oni sú pripravení na sneženie, ale kedy, v lete?,",-2
Page_8,Treba zmeniť zakon ak to urobili v Česku,-2
Page_8,"Len škoda, že kapacitne to štát nezvláda, lebo na moje dieťa sa predmet neušiel, iba polovička triedy bude finančne úspešná, druhá bude pohybovo zdatna.....",-2
Page_8,Nútená výchova oviec.,-2
Page_8,Pekná p.....,-2
Page_8,"Preto netreba poistku, lebo sú to vyhodené peniaze",-2
Page_8,"Katka Kováčová, tuto stranku nesledujem...len mi vaša reklama udrela do očí!!! Že ako OVB zavádza ľudí!!! Pyramída ako hovado!!! Silvo Župa ma takú istú skúsenosť ako ja...aj ja som bola cez telefon pozvana na pohovor, na administratívnu prácu...rovnako dopadli aj moje dve byvale spolužiačky a frajer mojej segry ...",-2
Page_8,OVB nikdy!!!!!!,-2
Page_8,mne to nejde otvorit...,-2
Page_9,Totálne odkopírované od Apple Watch. To ste s tým kolieskom nenašli kreatívnejší spôsob?,-2
Page_9,Zakriveny displej je absolutne nepouzitelna hovadina.  Imidzovka 😉,-2
Page_9,Nemilujem.,-2
Page_9,"Samsumg už nikdy.Sklamal som sa sa pri S2.Novinka S3 za 790e.Keby bola zaruka,tak im to v predajni oje..m o hlavu.Ešte aj ta kalkulačka zamrzala.Telefon od samsungu nikdy viac,aj keby mala ake kolvek čislo na konci...",-2
Page_10,Parada mama roztrhla 200€.... :-D :-D :-D robim si srandu :-P,-2
Page_10,Nemám bankovku :D,-2
Page_10,To ste nemali europsku zastrcku.?,-2
Page_10,"Používam 8ks fotovoltaických panelov- dostal som prd, chcel som si nainštalovať veternú elektráreň- mesto mi to nedovolilo ! ..hmm tak ako to je???",-2
Page_10,"Najprv zaluzie, potom oteplenie domu a vymena okien...a stale ma to stoji rovnako...",-2
Page_10,"Výhercom srdečne gratulujem.. len mi je ľúto, že mi nikto neodpovedal na moju otázku... ja som márne čakala na email... nič mi neprišlo - a pritom som správne na otázku odpovedala.... SPP ???",-2
Page_10,ak sa dostal SMER k moci zelené enegie BLOKOL,-2
Page_10,Tak sa mate ci chvalit podvodnici !,-2
Page_10,"nie,pretože nenávidím telefonovanie :D",-2
Page_10,Aj tu zachvilu predaju poslanci ako šecko nakradli svojim mamám nerozdali nič chudobe !....,-2
Page_11,"Od kedy Monako susedí s Českom?  Veď Sagan je Slovák už len pôvodom. Tie reklamy sú otrasné, keď to ide v telke tak prepínam :/",-2
Page_11,Tato reklama je na facku... Hnus...Keby hentak pride za mnou cechacek hned facka by mu letela ...,-2
Page_11,"Myslela som ze Alza ma najdebilnejsie reklami , ale tak tato je v tesnom zavese. Toto ozaj nema zmysel sa cudujem saganovi ze sa dal na nieco take nahovorit.",-2
Page_11,uch och uz si toho retarda s bohatou slov zasobou nechajte.,-2
Page_11,vyzerá v tom telefone fakt ako idiot .. :-D  ... sele zle,-2
Page_11,"Už sa bojím otvoriť aj nejakú konzervu,aby odtiaľ nevyskočil Sagan. Ináč táto raklama je trápna. A vôbec tie ich reklamy s celebritami hnus.",-2
Page_11,Dat si vymyvat mozog a este zato platit. To je terno ;),-2
Page_11,Len chodte od Telekomu prec 😤👎👎,-2
Page_11,"dnes som sa zastavil na predajnom mieste TELEKOM ....chcel som využiť službu starý za nový,resp.mobil každý rok.........na moje zistenie...LG  G3 v dost slušnom stave:odkúpna cena 112€ !!!!!!!! súkromne aj s doplnkami ho predam za min! 290€ ! a to ešte ma dorazila slečna z opačnej strany pultu,že musím zaplatiť 161€ za službu mobil každý rok! MŃA BY ZAUJÍMALO ,kde to máte na internete (dom.stránke) tieto poplatky!!!!!!!!!!!!!!!!!dajte to priamo na stránku k službe,nek zbytočne znechucujete zákazníkov,lebo mi to príde ,že si z NÁS robíte srandu......a za mňa osobne,to berem ako skrytý poplatok!!!!!!!!!",-2
Page_11,Su to strasne odrby ked som bral lg g 3 na pausal tak ked som chcel este pripoistit tak bola predajna cena telefonu 500 euro cca a teraz ze oni mi zan daju 50 euro a mam ho len rok a pol a uz je tam nova baterka aj nabijacla cize telekom sa zase blisol poprdeli akciou a spravit nieco pre verneho zakaznika nehrozi a na pobocke v ziline neviem cim to je ale posledne 4 roky som vychytal same vadne telefony,-2
Page_11,"Ujo Macko ""zabil"" kazdou druhou vetou..reportaz pekna ale sprevadzat mala radsej upratovacka...",-2
