comment,scale
Sklamaný z batérie.  ,0
"Nie je dostatočne hlasný a nezapína sa tak, ako by mal.  ",0
dobrá ochrana a nerobí telefón príliš objemným.    ,1
"Použiteľná klávesnica v skutočnosti premení PDA na užitočný stroj v skutočnom svete, nie len na úhľadný gadget.    ",1
Tento telefón je dosť odolný a nikdy som s ním nemal veľké problémy.    ,1
Milujem túto vec!    ,1
"Všetko je v poriadku a primerané za cenu, t.j.    ",1
VEĽMI SKLAMANÝ.  ,0
Dokonca som tento telefón pustil do prúdu a bol ponorený na    5 sekúnd a stále funguje skvele!    ,1
S 5     som bol veľmi spokojný a od nikoho som nemal žiadne sťažnosti týkajúce sa mojej kvality zvuku.    ,1
Tlačidlá na zapnutie a vypnutie sú zlé.  ,0
V podstate môžete zabudnúť na technickú podporu spoločnosti Microsoft.  ,0
"Naozaj odporúčam tieto čelné dosky, pretože vyzerajú veľmi pekne, elegantne a cool.    ",1
"Tieto slúchadlá boli skvelým nálezom – a myslím si, že sú to možno najlepší nákup, aký som za posledných niekoľko rokov urobil – vážne.    ",1
Kúpte si iný telefón – ale nie tento.  ,0
"Musíte držať telefón v určitom uhle, aby vás druhá strana jasne počula.  ",0
"Jednou veľkou nevýhodou MP3 prehrávača je, že tlačidlá na prednom kryte telefónu, ktoré umožňujú pozastaviť a preskočiť skladby, sa po niekoľkých sekundách uzamknú.  ",0
"O týždeň neskôr, keď som ho aktivoval, náhle zomrel.  ",0
"Cítim sa pohodlnejšie ako väčšina slúchadiel, pretože nosím okuliare a to mi niekedy prekáža.    ",1
Skvelé aj pre iPody.    ,1
Toto zariadenie je skvelé v niekoľkých situáciách:    .)    ,1
Mikrofón nefunguje.  ,0
"Dokonca aj v mojom BMW radu 3, ktoré je pomerne tiché, mám problém počuť, čo hovorí druhá osoba.  ",0
Skvelá voľba!    ,1
Pekná dokovacia stanica na doma alebo do práce.    ,1
Toto je krásny telefón.    ,1
Milujte tento produkt.    ,1
Nekupujte za D8 7...nesprávne inzerované pre D8 7.  ,0
Toto je skvelá malá položka.    ,1
"Milujem tento telefón, je veľmi praktický a má veľa funkcií.    ",1
Kúpil som si to a do 2 dní to už nefungovalo!!!!!!!!!  ,0
Nosím ho každý deň a veľmi dobre drží.    ,1
Nie je to dobrý obchod.  ,0
"Dobre zabalené, prišlo načas a funguje ako má.    ",1
Batéria sa rýchlo vybíja.  ,0
"Táto položka fungovala skvele, ale po 6 mesiacoch používania sa rozbila.  ",0
Slúchadlá sa ľahko používajú a všetci ich milujú.    ,1
Tento telefón funguje skvele.    ,1
Konštrukcia headsetov je nekvalitná.  ,0
Produkt bol vynikajúci a funguje lepšie ako ten Verizon a Boy bol lacnejší!    ,1
Telefón sa nabíja super!    ,1
"Od produktu, ktorý stojí toľko ako tento, očakávam, že bude fungovať oveľa lepšie a ľahšie ako táto vec.  ",0
Vyrobené veľmi robustne.    ,1
Fungovalo skvele!.    ,1
Slúchadlá prehrávajú hudbu iba do jedného ucha.  ,0
Nestrácajte peniaze...  ,0
Objednám si od nich znova!    ,1
"Ak to plánujete použiť v aute, zabudnite na to.  ",0
"Zistil som, že tento produkt je príliš veľký.  ",0
Najlepsie co som zatial nasiel....vyskusal som 2 dalsie bluetooth a tento ma najlepsiu kvalitu (pre mna aj posluchaca) aj jednoduchost pouzitia.    ,1
Som veľmi sklamaný z môjho rozhodnutia.  ,0
Bezproblémová integrácia s telefónom Motorola RAZR.    ,1
"Kupujúci Pozor, peniaze môžete spláchnuť priamo do záchoda.  ",0
Jednoznačne výhodná kúpa.    ,1
Cena bola veľmi dobrá a s dopravou zadarmo a všetko bol dobrý nákup.    ,1
Dostal som svoju údajne novú motorolu 375 a zjavne sa medzi telefónom a nabíjačkou nezhodovala.  ,0
"Výhody: - Dobrý fotoaparát - veľmi pekné obrázky, má tiež skvelé štýly ako čiernobiele a ďalšie.    ",1
"To je obrovská chyba dizajnu (pokiaľ ho nepoužívam správne, čo si myslím, že nie je tento prípad).  ",0
"Milujem svoju náhlavnú súpravu 35 . Moja náhlavná súprava Jabra35  bluetooth je skvelá, príjem je veľmi dobrý a náušník pohodlne sedí.    ",1
"Fotoaparát, hoci má pôsobivé rozlíšenie    ,3 megapixela, vykresľuje obrázky, ktoré výrazne zaostávajú za očakávaniami takéhoto relatívne vysokého rozlíšenia.  ",0
Kúpil som to kvôli nabíjačke do auta a nefunguje to.  ,0
"Kvalita zvuku na oboch stranách je vynikajúca, používam náhlavnú súpravu na zavolanie manželke a žiadam manželku, aby mi zavolala pomocou náhlavnej súpravy !2.    ",1
Tento telefón je tenký a ľahký a displej je krásny.    ,1
"je to trochu podivínske, ale myslím si, že to je jeho sex na toaste a kýva a vyžaruje sex až po jeho elegantné štýlové kožené puzdro s vstavanou batériou.    ",1
"Skvelý produkt, rýchle dodanie!.    ",1
Úplne super.    ,1
Klávesnica je príjemným kompromisom medzi plnohodnotnou QWERTY a základnou číselnou klávesnicou mobilného telefónu.    ,1
Tento telefón som dostal koncom mája a som s ním úplne nespokojný.  ,0
Na uchu je veľmi príjemná.    ,1
Pre nás to bolo víťazné.    ,1
)Nastavenie nemohlo byť jednoduchšie.    ,1
"Vyskúšal som niekoľko rôznych slúchadiel pre môj mobilný telefón a toto je prvé, ktoré som našiel a ktoré mi pohodlne sedí v uchu.    ",1
Nepodarilo sa získať dostatočne silný signál.  ,0
Som veľmi spokojný s mojím nákupom.    ,1
Zlá kvalita.  ,0
Zvládne prácu.    ,1
Skvelý zvuk!.    ,1
V zásade bola služba veľmi zlá.  ,0
"nefungovalo to v zástrčke môjho mobilného telefónu, som veľmi nastavený s nabíjačkou!.  ",0
"Mám svoje bluetooth len pár týždňov, ale veľmi sa mi páči.    ",1
BT headset bol takým sklamaním.  ,0
"Je taký malý a po chvíli zvykania si ani neuvedomíte, že tam je.    ",1
Priložený softvér je takmer brilantný.    ,1
"Headset funguje skvele a bol pekne zabalený, aby nedošlo k poškodeniu.    ",1
!Určite odporúčam!!    ,1
Kupujúci – buďte veľmi opatrní!!!!!.  ,0
Väčšina slúchadiel Logitech zlyhala.  ,0
Veľmi dobré veci za tú cenu.    ,1
Moja náhlavná súprava funguje ako broskyňová.    ,1
V mojom dome som dostával pokrytie hore a žiadne pokrytie v mojej pivnici.  ,0
Rozpoznávanie hlasu je úžasné!    ,1
Aké plytvanie.  ,0
"Počas niekoľkých rôznych 2-minútových hovorov som zažil 5 kvapiek a bolo to v oblasti, ktorá mala 5 pruhov.  ",0
S touto položkou som nebol spokojný.  ,0
veľmi sklamaný.  ,0
"Telefónu trvá VŽDY, kým sa nabije, doslova 2 až 5 hodín.  ",0
"Tento telefón som dostal na odporúčanie od príbuzného a som rád, že som to urobil.    ",1
Aká strata času!  ,0
Jeho príjem je veľmi slabý.  ,0
Položky uvedené v popise ako zahrnuté NIE SÚ ZAHRNUTÉ.  ,0
Po 3 mesiacoch obrazovka zrazu stmavla.  ,0
Dúfal som vo viac.  ,0
"Kvalita zvuku je zlá, veľmi zlá.  ",0
Nemal som absolútne žiadny problém s pripojením tohto headsetu k môjmu 853  Blackberry Curve!    ,1
"Viem, že to znie smiešne, ale mne to pripadalo ako povrchná technológia, ktorá by nefungovala dobre. No, táto funguje skvele.    ",1
"Kúpil som si káblové slúchadlá za 5 dolárov, ktoré znejú lepšie ako tieto.  ",0
"Tento telefón je veľmi rýchly s odosielaním akýchkoľvek správ a prehliadanie webu je výrazne rýchlejšie ako predchádzajúce telefóny, ktoré som používal.    ",1
"Pekná kvalitná konštrukcia, na rozdiel od niektorých lacných s***ov.    ",1
Táto položka je fantastická a funguje perfektne!    ,1
A ja proste milujem farby!    ,1
W8    i je jednoducho SUPER.    ,1
"Jediné, čo môžem urobiť, je fňukať na internete, takže tu to ide. Čím viac tú vec používam, tým menej sa mi páči.  ",0
Skvelá nabíjačka.    ,1
"Ide v podstate o komunikačný nástroj, ktorý nekomunikuje.  ",0
"Funguje ako kúzlo; funguje to rovnako ako to, čo som dostal s telefónom.    ",1
"Stále tvrdím, že opice by nemali vyrábať slúchadlá, len zjavne nezdieľame dostatok DNA na to, aby sme skopírovali dizajn na ľudí.  ",0
Skvelá hodnota.    ,1
Nefunguje vôbec .. Kúpil som to pre môj L7c a nefunguje.  ,0
Vzhľad je veľmi ostrý a obrazovka je pekná a jasná grafika.    ,1
netrvá dlho.  ,0
"Jedna vec, ktorú neznášam, je tlačidlo nastavenia režimu na boku.  ",0
VYNIKAJÚCI SERVIS!!!!!!!!.    ,1
Ďakujem za vyhodené peniaze.  ,0
Ako je to možné? Kvalita zvuku je nízka.  ,0
Nabíjačky a tipy iGo sú naozaj skvelé.    ,1
"Prehliadač súborov ponúka všetky možnosti, ktoré človek potrebuje. Handsfree je skvelé.    ",1
Skvelý telefón v skvelej sieti.    ,1
"Pripojil som bluetooth mojej manželky (Motorola HS85 ) k telefónu a fungovalo to ako kúzlo, či už som mal telefón vo vrecku alebo v puzdre.    ",1
Dal som naň najnovší OS (v   .   5g) a teraz sa občas rád spomalí na plazenie a zamkne.  ,0
Telefón rozpozná iba ako úložné zariadenie.  ,0
"Ak máte radi hlasné bzučanie na potlačenie všetkých vašich konverzácií, potom je tento telefón pre vás!  ",0
Nekupujte tento produkt.  ,0
"Tento bluetoooth headset mám už nejaký čas a stále mi nevyhovuje spôsob, akým sedí na uchu.  ",0
Kvalita zvuku je dobrá a funkčnosť je úžasná.    ,1
"Mám tento telefón a je mi tŕňom v oku, naozaj ho nenávidím.  ",0
"Nedávno som mal problémy, keď som nemohol zostať pripojený viac ako      minút, kým som nebol odpojený.  ",0
Neuveriteľné!.    ,1
Chyba dizajnu?.  ,0
Skvelý telefón!.    ,1
Strata    3 dolárov.  ,0
"Ale keď v noci kontrolujem hlasovú poštu, podsvietenie klávesnice sa vypne niekoľko sekúnd po prvej správe a potom som stratený.  ",0
Náhradník zomrel o niekoľko týždňov.  ,0
Akýkoľvek vyzváňací tón.. Celkovo dobrý telefón na kúpu..    ,1
V poslednej dobe sú veľmi milí a ochotní po telefóne.    ,1
Mal som problémy s klesajúcim signálom a ďalšie.  ,0
Nie som ohromený.  ,0
"Nízka hmotnosť, takmer si nevšimnem, že tam je.    ",1
"Budete milovať, aké je tenké.    ",1
Zlá voľba.  ,0
Kožené puzdro nesedí.  ,0
"zbytočný telefón, jednoducho hluchý.  ",0
"Farba je ešte krajšia, ako som si myslel, že bude a grafika je neskutočne ostrá.  ",1
"Celkovo si myslím, že to bola dobrá investícia.  ",1
Pred ukončením hovoru vydáva veľmi zvláštne tikajúce zvuky.  ,0
Najlepšia elektronika dostupných FM vysielačov.  ,1
Batéria vydrží len niekoľko hodín.  ,0
"skvelý headset, veľmi ohromený - H5  .  ",1
"„ ,2“ megapixelový fotoaparát, ktorý je súčasťou telefónu, je pomerne dobrý7.  ",1
Mám to už takmer 2 roky a funguje mi to skvele.  ,1
Dobrý prenos zvuku.  ,1
Posielame späť.  ,0
"Neobťažoval som sa kontaktovať spoločnosť kvôli pár dolárovému produktu, ale poučil som sa, že som si tento formulár nemal kupovať online.  ",0
"Ak nenávidíte odposluchy, týmto telefónom sa rozhodne vyhnite.  ",0
Skvelá cena tiež!  ,1
"Dosah je veľmi slušný, mohol som sa túlať po dome s telefónom v obývačke bez problémov s príjmom/kvalitou zvuku.  ",1
rýchly servis.  ,1
Veľmi by som to odporučil.  ,1
Toto by som odporučil.  ,1
"Nepáčilo sa mi ani tlačidlo ""on"", bolo cítiť, že používaním praská.  ",0
NAJHORŠÍ TELEFÓN VŠETKÝCH.  ,0
Stále som očarený týmto telefónom.  ,1
Často zamŕza 4.  ,0
"Je to trochu trápne používať kvôli tomu, ako to vyzerá, a väčšinou je to trápne, ako detská spoločnosť je.  ",0
"Jednoduché, ľahké a skvele padnúce.  ",1
Celkovo som od Motoroly očakával lepší spotrebiteľský zážitok.  ,0
"V pozadí všetkých mojich hovorov je strašný zvuk tikotu, ktorý som nikdy predtým nezažil.  ",0
Tieto sú určite veľmi pohodlné a funkčnosť je slušná.  ,1
"Obyčajne nemám rada čelenky, ale táto je veľmi ľahká a nekazí mi vlasy.  ",1
Som trochu sklamaný.  ,0
"Tento telefón mám už viac ako rok a poviem vám, nie je až taký skvelý.  ",0
"Objednal som si to pre Sony Ericsson W8  i, ale myslím, že to fungovalo iba raz (vtedy som to prvýkrát použil).  ",0
Batéria je pre mňa úplne zbytočná.  ,0
Aká veľká strata času.  ,0
Nestrácajte svoje $$$ na tento.  ,0
Skvelý zvuk a servis.  ,1
S týmto produktom som zatiaľ naozaj spokojný.  ,1
Jeden z mojich najobľúbenejších nákupov vôbec.  ,1
najlepšie bluetooth na trhu.  ,1
Autentická koža s pekným leskom a pohodlím. Toto puzdro vám odporúčam!!  ,1
"Bol som veľmi nadšený, že som dostal tento headset, pretože som si myslel, že je naozaj roztomilý.  ",1
Neurobte rovnakú chybu ako ja.  ,0
Veľké sklamanie so synchronizáciou kalendára.  ,0
telefón bol nepoužiteľný a nebol nový.  ,0
Najhorší zákaznícky servis vôbec.  ,0
Nie sú k dispozícii žiadne ďalšie ušné gély ani žiadne pokyny.  ,0
Zmarí to účel bluetooth headsetu.  ,0
Stojí za každý cent.  ,1
Vynikajúce puzdro na telefón peňaženkového typu.  ,1
Pekné slúchadlá za tú cenu a fungujú skvele!  ,1
Internet je neznesiteľne pomalý.  ,0
"Nosí sa veľmi pohodlne, čo je asi najdôležitejší aspekt pri používaní puzdra.  ",1
"Sedí ako uliata a je pevná, bezpečná a odolná.  ",1
"Bože, najlepší telefón, aký som kedy mal.  ",1
"Je veľmi atraktívny a zdá sa, že je kvalitný.  ",1
Milujem všetky funkcie a tvarový faktor.  ,1
"Tento produkt mal silný gumový/ropný zápach, ktorý bol po chvíli neznesiteľný a spôsobil, že som ho vrátil  ",0
nízka kvalita a servis.  ,0
"Kábel vyzerá tak tenký a krehký, že je strašidelný.  ",0
Skvelé slúchadlo.  ,1
Skvelý handsfree nástroj.  ,1
Skvelé na použitie s domácim stereom.  ,1
Dobrý produkt - neuveriteľná hodnota.  ,1
"Mal som to len mesiac, ale doteraz to fungovalo bezchybne.  ",1
Funguje skvele.  ,1
Absolútny odpad.  ,0
Ani ten nefungoval.  ,0
Výdrž batérie je naozaj dobrá.  ,1
Vrátil sa o 8 hodín neskôr.  ,0
Je to skvelá položka.  ,1
Nestrácajte peniaze!.  ,0
Milujte tento headset!  ,1
"Nielenže to vyčerpá váš prehrávač, ale môže ho tiež potenciálne usmažiť.  ",0
Fungovalo perfektne!  ,1
Nespoľahlivý – vzdávam sa.  ,0
Dal som 5 hviezdičiek kvôli kvalite zvuku.  ,1
"Vyhnite sa tomuto, ak môžete.  ",0
Obojstranná zástrčka funguje skvele.  ,1
S týmto slúchadlom som minul svoje malé peniaze.  ,0
Veľmi dobrý telefón.  ,1
"Najlepšie zo všetkého je funkcia otáčania, ktorá je veľmi užitočná.  ",1
Pohodlie pre celú našu rodinu.  ,1
"Dobrý produkt, dobrý predajca.  ",1
Milujem toto bluetooth!  ,1
"Po prvé, zle sa nosí.  ",0
Tento headset od Plantronics ma veľmi zaujal.  ,1
"Dostal som ho, pretože bol taký malý a rozkošný.  ",1
Skvelý telefón!.  ,1
Neodporúčam kupovať tento produkt.  ,0
Kúsok odpadu.  ,0
Zle konštruovaný pánt.  ,0
"Táto položka je skvelá, nainštalovala som ju, nechala sa nabiť a odvtedy funguje dobre bez problémov  ",1
Skvelý telefón.  ,1
Nekupuj to.  ,0
Vynikajúci telefón.  ,1
TENTO TELEFÓN NEKUPUJTE.  ,0
Rozpoznávanie hlasu cez slúchadlo je vynikajúce.  ,1
"Toto je podľa mňa najlepší telefón, aký som kedy mal.  ",1
"Funguje skvele, keď moja mačka zaútočila na telefón, namiesto zničenia obrazovky poškriabal ochrannú lištu.  ",1
Tento funguje a mal primeranú cenu.  ,1
Zákaznícky servis bol hrozný.  ,0
Životnosť batérie v Motorola Razor V3i stále nie je dostatočne dlhá.  ,0
Posielanie späť.  ,0
"Teraz viem, že som sa rozhodol múdro.  ",1
Toto mal niekto vymyslieť skôr.  ,1
Dobrá cena.  ,1
Všetko fungovalo na prvý pokus. Zariadenie bolo určite skonštruované dômyselne a konštrukcia pôsobí dobre.  ,1
Dostal som to rýchlo a funguje to skvele!!  ,1
Funguje skvele.  ,1
"Ako sa mnohí ľudia sťažovali, zistil som, že mikrofón tejto náhlavnej súpravy je veľmi slabý.  ",0
Moja 5-ročná Nokia 2 6  od Tracfone drží náboj oveľa lepšie ako táto.  ,0
Ani trochu sa nestarajú o spotrebiteľa.  ,0
Je to dobrá batéria a dostala sa sem naozaj rýchlo.  ,1
Chýba návod na použitie.  ,0
"Je tiež dostatočne tenký na to, aby sa zmestil do mojej dokovacej stanice s budíkom bez odstránenia puzdra.  ",1
"Telefón teraz drží energiu, ako keď bol nový.  ",1
"Batéria je nespoľahlivá, rovnako ako aj servisná anténa.  ",0
Je to nepohodlné a kvalita zvuku je dosť nízka v porovnaní s telefónom (Razr) alebo s mojimi predchádzajúcimi káblovými slúchadlami (ktoré sú pripojené k LG).  ,0
Dostali sme na to veľa komplimentov.  ,1
"To je určite nevyhnutné, ak váš štát neumožňuje používanie mobilného telefónu počas jazdy.  ",1
Chcem svoje peniaze späť.  ,0
Milujem toto zariadenie.  ,1
Som veľmi spokojný aj s cenou.  ,1
Objednal som si tento produkt ako prvý a bol som s ním okamžite nespokojný.  ,0
Ngage stále chýbajú slúchadlá.  ,0
Zvládol som hlasové vytáčanie v aute bez problémov.  ,1
"Keď som doma, na mobile mám 2-3 čiarky, ale nič nepočuješ.  ",0
"dobrý tovar, nízka cena.  ",1
Vyzváňacie tóny však nie sú najlepšie a ani hry.  ,0
Zástrčka nefungovala veľmi dobre.  ,0
AMAZON NASÁVA.  ,0
Rip off---- Over charge shipping.  ,0
Veľmi pohodlné.  ,1
"Batéria funguje dobre ako náhrada za originál, ktorý bol dodaný s telefónom pred viac ako 2 rokmi.  ",1
Recepcia je vynikajúca!  ,1
"Pohodlne sadne do každého ucha, zvuk je čistý a hlasný a nabitie vydrží niekoľko dní.  ",1
"veľmi čistý, kvalitný zvuk a nemusíte sa boriť so zvukom na vašom iPode, pretože máte zvukové tlačidlá na náhlavnej súprave.  ",1
 . batéria s dlhou výdržou (nemusíte ju tak často dobíjať ako niektoré vyklápacie telefóny)2.  ,0
Zjavne je problém s lepidlom.  ,0
Veľmi sklamaním.  ,0
"Bol to lacný kúsok, no aj tak by som čakal lepšiu kvalitu.  ",0
"Je to prakticky nepoužiteľné a nepridalo mi to žiadne oživenie po tom, čo som si ho kúpil.  ",0
Vynikajúca kvalita zvuku.  ,1
Nebol šťastný.  ,0
"KÚSOK SVETIA, KTORÝ SA PO 2 DŇOCH TELEFONICKY ROZBOL!!!  ",0
Nová batéria funguje v telefóne skvele.  ,1
Najhorší zákaznícky servis.  ,0
"Telefón mi spadol viackrát, než môžem povedať, dokonca aj na betón a telefón je stále skvelý (klopem na drevo!).  ",1
Príjem je hrozný a plný statiky.  ,0
Dobrá kvalita zvuku.  ,1
Toto malé zariadenie zmenilo moje organizačné schopnosti a uľahčilo mi život.  ,1
Sedel som v aute s kolískou na opasku a slúchadlá stratili signál.  ,0
Boli JERKS na telefóne.  ,0
"Funguje ako kúzlo.. Funguje tak, ako je inzerované.  ",1
"Pohodlné, pekný dosah, dobrá výdrž batérie.  ",1
Ich sieťové pokrytie v Los Angeles je hrozné.  ,0
Vynikajúci štartovací bezdrôtový headset.  ,0
"Možnosť reproduktora je skvelá, nárazníky so svetlami sú veľmi ... príťažlivé.  ",0
"Jediná vec, ktorá by sa podľa mňa mohla zlepšiť, je únik zvuku z náhlavnej súpravy.  ",0
"Po prvé, recepcia je na hovno, nikdy som nemal viac ako 2 bary.  ",0
Telefón je VEĽMI HORÚCI!  ,0
"Mikrofón tiež funguje dobre, ale (podľa ľudí, ktorých som volal) aplikuje všetko.  ",1
Pekný dizajn a kvalita.  ,1
"Tiež, ak váš telefón spadne, toto puzdro to nezachráni, najmä keď spadne tvárou nadol.  ",0
"Je ľahký, ľahko sa používa a má veľmi čistý príjem a prenos.  ",1
"zle sedí, príliš veľké.  ",0
Určite to nebolo také dobré ako moja S  .  ,1
úžasné zariadenie.  ,1
Plytvanie peniazmi.  ,0
"Objednal som si dátový kábel Motorola, dostal som veľmi dobre hotový a fungujúci produkt.  ",1
Milujem tento telefón.  ,1
"Tento headset som hľadal dlho a teraz, keď ho mám, nemôžem byť šťastnejší.  ",1
Pôjdem spolu a môj headset začne bez dôvodu zvoniť.  ,0
Displej je výborný a fotoaparát ako ktorýkoľvek iný z toho roku.  ,1
Výdrž batérie je tiež skvelá!  ,1
"Najhorší telefón, aký som kedy mal... Mal som ho len pár mesiacov.  ",0
Nie je to dobrá položka. Chvíľu to fungovalo a potom začal mať problémy s mojím automatickým reverzným páskovým prehrávačom.  ,0
"Je to také trápne a tiež ma bolia uši, keď sa pokúšam strčiť zátku do ucha.  ",0
Chráni telefón zo všetkých strán.  ,1
"Toto je VEĽMI priemerný telefón so zlou výdržou batérie, ktorý funguje v slabej sieti.  ",0
"Jasné Skype hovory, dlhá výdrž batérie, dlhý dosah.  ",1
Sójová technológia je nanič.  ,0
Skvelé handsfree zariadenie.  ,1
"môžete dokonca robiť autoportréty s vonkajším (vonkajším) displejom, veľmi cool.  ",1
Rovnaký problém ako spomenuli iní.  ,0
"Po vyskúšaní mnohých handsfree gadgetov je to ten, ktorý konečne funguje dobre.  ",1
Magická pomoc.  ,1
Najhoršie svinstvo vôbec spolu so zákazníckym servisom Verizon.  ,0
Zlá kvalita zvuku.  ,0
Najlepší telefón na trhu :)  ,1
Fungovalo to veľmi dobre.  ,1
Spoločnosť odoslala môj tovar veľmi rýchlo a funguje dobre.  ,1
"Presne to, čo som chcel.  ",1
"Rozlíšenie obrazu je ďaleko pod tým, čo dnes ponúkajú iné telefóny s porovnateľnou cenou.  ",0
To je skvelá vec.  ,1
"Skvelý produkt, s nákupom som veľmi spokojný.  ",1
"Veľmi ich odporúčam a povzbudzujem ľudí, aby ich vyskúšali.  ",1
"Lepšie, ako by ste čakali.  ",1
"Pri použití všetkých slúchadiel, vľavo alebo vpravo, táto vec nezostane na mojom uchu.  ",0
Skvelý produkt a cena.  ,1
"Znie to dobre za rozumnú cenu a efektívne, je to také jednoduché!  ",1
"Stále čakám...... Som si istý, že táto položka bude fungovať dobre.. ak ju niekedy dostanem!  ",0
aké sklamanie  ,0
Veľmi promptný servis.  ,1
Vyborny produkt za tu cenu.  ,1
Veľmi spokojný s týmto headsetom.  ,1
nestrácajte peniaze a čas.  ,0
Páči sa mi hlavne dlhá výdrž batérie.  ,1
"Je to také hlúpe, že musíte kupovať nové nabíjačky, autonabíjačky, kolísky, slúchadlá a súpravy do auta zakaždým, keď sa objaví nový telefón.  ",0
Funguje skvele.  ,1
Plantronics Bluetooth Excelent Buy.  ,1
"Prišiel som z Verizonu, pretože cingulair má krajšie mobilné telefóny.... prvé, čo som si všimol, bola naozaj zlá služba.  ",0
Budem hľadať nové slúchadlá.  ,0
Toto zariadenie vrelo odporúčam každému!  ,1
Čeľusťová éra je tiež úžasná!  ,1
"Dostali sme batériu BIELEJ farby, ktorá sa po niekoľkých hodinách vybije. Pôvodná batéria vydržala týždeň – no stále vydrží dlhšie ako náhrada  ",0
Po roku sa mi úplne vybila batéria na slúchadlách.  ,0
"Za dva roky som použil niekoľko telefónov, ale tento je najlepší.  ",1
Úžasný nový vzhľad na jeseň 2   !.  ,1
"Toto je prvý telefón, ktorý som mal a ktorý bol vyrobený tak lacno.  ",0
"Att nie je jasné, zvuk je veľmi skreslený a keď hovoríte, musíte kričať.  ",0
Plast sa na tejto spone veľmi ľahko zlomí.  ,0
Cena je tiež dobrá.  ,1
Neurob tú istú chybu ako ja.  ,0
"A ešte som zabudol spomenúť ten zvláštny farebný efekt, ktorý má na vašom telefóne.  ",0
Používam ho s iriver SPINN (s puzdrom) a sedí dobre.  ,1
"Tiež oblasť, kde sa mi zlomila jednotka).- Nemám príliš v láske magnetický remienok.  ",0
"Celkovo som nadšený z toho, že mám telefón, v ktorom sú všetky moje stretnutia a kontakty a dostane sa mi skvelého prijatia.  ",1
